icao24,callsign,timestamp,latitude,longitude,altitude,on_ground,ground_speed,vertical_speed,ground_accel,heading,turn_rate,flight_duration,max_altitude,altitude_range
4d250b,WMT4429,2025-12-16 19:39:57,45.800945454545456,23.518727272727276,5375.090909090909,False,176.1083189804033,13.863636363636397,0.26854594937873344,278.4482026848068,0.027461338997159145,5640.0,11582.0,11582.0
4d250b,WMT4429,2025-12-16 19:40:07,45.80328,23.49611,5516.5,False,177.7287362246556,14.1409090909091,0.16204172442522805,278.4302334347088,-0.0017969250098019529,5640.0,11582.0,11582.0
4d250b,WMT4429,2025-12-16 19:40:17,45.80568,23.47266,5669.0,False,184.23162398385278,15.25,0.6502887759197193,278.3605654224556,-0.006966801225320296,5640.0,11582.0,11582.0
4d250b,WMT4429,2025-12-16 19:40:27,45.808063636363634,23.44928181818182,5818.727272727273,False,183.64522153164805,14.972727272727298,-0.05864024522047373,278.329870169532,-0.0030695252923578662,5640.0,11582.0,11582.0
4d250b,WMT4429,2025-12-16 19:40:37,45.81038181818182,23.42619090909091,5957.363636363636,False,181.32355188663809,13.863636363636306,-0.2321669645009962,278.20403493778906,-0.012583523174293986,5640.0,11582.0,11582.0
4d250b,WMT4429,2025-12-16 19:40:47,45.8127,23.4031,6096.0,False,181.31618320395313,13.863636363636397,-0.0007368682684955275,278.20437175092536,3.368131363004068e-05,5640.0,11582.0,11582.0
4d250b,WMT4429,2025-12-16 19:40:57,45.81396,23.37986,6156.8,False,181.17122699151588,6.080000000000018,-0.014495621243725054,274.45619837109166,-0.3748173379833702,5640.0,11582.0,11582.0
4d250b,WMT4429,2025-12-16 19:41:07,45.814859999999996,23.35526,6308.8,False,191.45732443641833,15.2,1.0286097444902453,273.0135701393095,-0.144262823178218,5640.0,11582.0,11582.0
4d250b,WMT4429,2025-12-16 19:41:17,45.81569565217391,23.33048260869565,6453.04347826087,False,192.79540699957786,14.424347826086978,0.13380825631595314,272.779251720659,-0.023431841865050273,5640.0,11582.0,11582.0
4d250b,WMT4429,2025-12-16 19:41:27,45.816434782608695,23.305439130434785,6585.652173913043,False,194.81014750421397,13.260869565217309,0.20147405046361086,272.43379819474774,-0.0345453525911239,5640.0,11582.0,11582.0
4d250b,WMT4429,2025-12-16 19:41:37,45.81718333333334,23.2804125,6717.708333333333,False,194.68118273021398,13.205615942028999,-0.01289647739999964,272.4663431412881,0.0032544946540383536,5640.0,11582.0,11582.0
4d250b,WMT4429,2025-12-16 19:41:47,45.818016666666665,23.2555375,6844.791666666667,False,193.5438895511212,12.708333333333394,-0.11372931790927794,272.7609021012502,0.0294558959962103,5640.0,11582.0,11582.0
4d250b,WMT4429,2025-12-16 19:41:57,45.81885,23.230662499999998,6971.875,False,193.54100916959038,12.708333333333304,-0.0002880381530815157,272.760943349879,4.124862880416913e-06,5640.0,11582.0,11582.0
