icao24,callsign,timestamp,latitude,longitude,altitude,on_ground,ground_speed,vertical_speed,ground_accel,heading,turn_rate,flight_duration,max_altitude,altitude_range,anomaly_rule,anomaly_reason,anomaly_ml,anomaly_score,shape_anomaly,cluster,anomaly_combined
a214bd,N233ME,2025-12-16 18:30:52,34.30905307692308,-118.8715276923077,914.0,False,8.322999170998079,0.0,1.3754789929265598e-06,101.18244153233178,-1.880860577330168e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
a214bd,N233ME,2025-12-16 18:31:02,34.308908205128205,-118.87064051282051,914.0,False,8.323012925434755,0.0,1.3754436675839088e-06,101.182422726398,-1.8805933791554708e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
a214bd,N233ME,2025-12-16 18:31:12,34.30876333333333,-118.86975333333334,914.0,False,8.323026679800645,0.0,1.3754365889795395e-06,101.1824039185352,-1.880786277297375e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
a214bd,N233ME,2025-12-16 18:31:22,34.30861846153846,-118.86886615384616,914.0,False,8.323040434413738,0.0,1.3754613092942236e-06,101.18238511119046,-1.880734475889767e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
a214bd,N233ME,2025-12-16 18:31:32,34.30847358974359,-118.86797897435898,914.0,False,8.323054188744115,0.0,1.375433037686946e-06,101.1823663041439,-1.8807046558322328e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
a214bd,N233ME,2025-12-16 18:31:42,34.30832871794872,-118.8670917948718,914.0,False,8.323067943039126,0.0,1.3754295011381146e-06,101.18234749715616,-1.8806987725383803e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
a214bd,N233ME,2025-12-16 18:31:52,34.308183846153845,-118.86620461538462,914.0,False,8.323081697475308,0.0,1.3754436182011886e-06,101.18232869092584,-1.8806230343670905e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
a214bd,N233ME,2025-12-16 18:32:02,34.30803897435897,-118.86531743589744,914.0,False,8.323095451593513,0.0,1.3754118205255849e-06,101.18230988396306,-1.8806962771122928e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
a214bd,N233ME,2025-12-16 18:32:12,34.3078941025641,-118.86443025641026,914.0,False,8.323109205676278,0.0,1.3754082765160548e-06,101.1822910775184,-1.880644464336001e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
a214bd,N233ME,2025-12-16 18:32:22,34.30774923076923,-118.86354307692308,914.0,False,8.323122959900331,0.0,1.375422405303084e-06,101.1822722704146,-1.880710379964512e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
a214bd,N233ME,2025-12-16 18:32:32,34.30760435897436,-118.8626558974359,914.0,False,8.323136714018244,0.0,1.375411791215697e-06,101.18225346432696,-1.8806087666689564e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
a214bd,N233ME,2025-12-16 18:32:42,34.307459487179486,-118.86176871794872,914.0,False,8.323150468065446,0.0,1.3754047202496625e-06,101.18223465923596,-1.8805090974183255e-06,6060.0,1219.0,1219.0,False,,True,-0.5674222763187755,True,-1,True
